Common Name,FIA,b0,b1,b2
Pacific Silver Fir,11,7.3037,0.5909,0
White Fir,15,4.4965,0.9238,-0.012
Grand Fir,17,5.7545,1.1196,-0.0147
Corkbark Fir,18,6.073,0.3756,0
Subalpine Fir,19,3.9629,0.6469,0
California Red Fir,20,4.7623,0.5222,0
Shasta Red Fir,21,4.0524,0.6423,0
Noble Fir,22,6.326,0.6588,0
Port-Orford Cedar,41,2.3625,0.9974,0
California Juniper (w),62,-2.1213,1.7308,-0.0243
Western Juniper (w),64,-0.0037,1.3526,-0.0165
Utah Juniper (w),65,2.4349,0.9,-0.0177
Rocky mtn. Juniper (w),66,2.1431,1.3447,-0.0228
One-seed Juniper (w),69,5.7367,0.4932,0
Western Larch,73,4.5176,0.7931,0
Incense Cedar,81,4.1207,0.9773,-0.0107
Engelman Spruce,93,5.1218,0.5547,0
Sitka Spruce,98,8.8087,0.7825,0
Whitebark Pine,101,2.6531,0.8015,0
Common Pinyon (w),106,-1.2638,1.9922,-0.041
Lodgepole Pine,108,-1.1994,1.5154,-0.0232
Limber Pine,113,4.0181,0.8528,0
Jeffrey Pine,116,4.2675,0.7714,0
Sugar Pine,117,4.8657,0.789,0
Western White Pine,119,4.284,0.6949,0
Ponderosa Pine,122,2.3089,1.1388,-0.0089
Grey Pine,127,4.3699,1.2524,0
Singleleaf Pinyon (w),133,2.5093,0.8503,0
Douglas-Fir,202,5.7753,1.0639,-0.0109
Redwood,211,12.0128,0.4576,0
Western Redcedar,242,8.1993,1.1134,-0.0165
Western Hemlock,263,5.0036,1.1808,-0.0107
Mountain Hemlock,264,3.2343,0.6927,0
Bigleaf Maple,312,10.0915,1.1139,0
Rocky Mountain Maple (w),321,10.5451,0.9493,0
Bigtooth Maple (w),322,4.004,1.0604,0
Red Alder,351,4.7027,1.3537,0
White Alder,352,9.7927,0.9006,0
Pacific Madrone,361,5.7785,0.9832,0
Curlleaf Mtn-Mahogany (w),475,3.5082,0.877,0
Tanoak,631,6.7864,0.8443,0
Quaking Aspen,746,2.5515,1.2029,0
Narrowleaf Cottonwood,749,2.8848,1.5866,0
Canyon Live Oak,805,6.1397,1.0109,0
Blue Oak,807,3.9281,1.555,0
Gambel Oak (w),814,3.0334,0.9834,0
Oreon White Oak,815,-1.316,2.9311,-0.0866
California Black Oak,818,7.0284,1.047,0
Interior Live Oak,839,5.1005,1.6359,0
California Laurel,981,7.3204,1.442,0
