MCS_min,MCS_max,1,2to4,5to9,9to14,15to30,gt30
1,1.25,0.94,0,0,0,0.06,0
1.25,1.5,0.69,0,0,0.02,0.29,0
1.5,1.75,0.6,0,0.02,0.01,0.37,0
1.75,2,0.53,0,0.03,0.05,0.39,0
2,2.25,0.49,0,0.08,0.02,0.41,0
2.25,2.5,0.46,0.01,0.1,0.04,0.39,0
2.5,2.75,0.43,0.02,0.14,0.03,0.38,0
2.75,3,0.41,0.03,0.15,0.04,0.36,0.01
3,3.25,0.37,0.03,0.16,0.03,0.4,0.01
3.25,3.5,0.38,0.04,0.17,0.01,0.38,0.02
3.5,3.75,0.35,0.06,0.18,0,0.4,0.01
3.75,4,0.36,0.05,0.18,0.01,0.37,0.03
4,4.25,0.33,0.05,0.21,0.03,0.35,0.03
4.25,4.5,0.33,0.05,0.2,0,0.37,0.05
4.5,4.75,0.3,0.09,0.18,0,0.38,0.05
4.75,5,0.3,0.07,0.2,0.01,0.36,0.06
5,6,0.29,0.09,0.21,0.03,0.31,0.07
6,7,0.24,0.1,0.21,0.02,0.34,0.09
7,8,0.25,0.08,0.19,0.02,0.31,0.15
8,9,0.25,0.1,0.18,0.04,0.31,0.12
9,10,0.25,0.08,0.18,0.05,0.27,0.17
10,15,0.22,0.09,0.17,0.11,0.27,0.14
15,20,0.24,0.04,0.13,0.17,0.27,0.15
20,25,0.19,0.07,0.14,0.22,0.27,0.11
25,50,0.15,0.08,0.15,0.28,0.24,0.1
50,75,0.13,0.09,0.13,0.37,0.19,0.09
75,100,0.15,0.04,0.11,0.41,0.2,0.09
100,9999,0.1,0.03,0.08,0.59,0.12,0.08
